sentiment,text,user
"neutral","RT @FinancialReview: What can your business learn from elite sporting teams? #leadership #ausbiz  https://t.co/KJeS4G5ZgG","M_CPartners"
"positive","RT @DerbyChrisW: I support the campaign to ban trophy hunting - our government can and must take action on this issue. \n\nEvery decent perso…","JensRas77511670"
"neutral","#JensLehmann zahlte 100 000 Euro wegen Steuer-Ärger #Betrüger #Steuer Der feine Herr Lehmann #doppelpass #dopa ⁦… https://t.co/M3RYSwScUY","_ragazzi___"
"negative","@masuperdeco Impatient de voir les résultats 🏆 #sport #déco","dep_yoann"
"neutral","RT @masuperdeco: 🎁 #Concours, comme promis pour fêter nos 3K 🙏\n\n👌 A gagner : le tableau #déco #sport de votre choix.\n👉 Pour tenter votre ch…","dep_yoann"
"negative","RT @CoachJayNorvell: The Pack is Battle Ready, and will sport the Black “Battle Born” helmets for this weekend’s State Championship game fo…","ToddOnFranchise"
"neutral","Give big space to the festive dog that shall sport in the roadway. #fortune","Inside_Jobber"
"neutral","@burtonad @MattRacquet @lizzieRF20 @pandsreid @BellshawGeorge @Metro_Sport Reap this. https://t.co/ag0wED8yUh","avocados_phil"
"neutral","@jdavenp3 Any sport! Remember, human beings have gotten bigger, stronger and faster from generation to generation.","nextlevelbb"
"neutral","SUV (sport utility vehicle)　 【SUV[車]】  https://t.co/RNmBi7wDW1","eigoyasan"
"neutral","PSVR | GT Sport NewCar &amp; Track: https://t.co/lJ0I79jD7d via @YouTube","Edouses_Prometh"
"neutral","HOZAN C-336 GEAR HANGER ALIGNMENT GAUGE https://t.co/55Zb2iRuGI https://t.co/QJI1iF8Alg","sporthobbystuff"
"positive","RT @Hibachi_Ray: “Basketball” is prolly the greatest sport ever invented. I don’t think anything comes close 🤔","leapiersonn"
"negative","eBay: 2004 Mazda Mazda6 Sport 2004 Mazda 6 bad 3.0 engine manual trans Parts or fix https://t.co/QCbW4iCSn5 https://t.co/7ucXNiHqjO","USSalvageAutos"
"neutral","Didier Drogba: Chelsea and Ivory Coast legend retires from playing https://t.co/6lHpj2p1Ja","hussen1021"
"neutral","Caged fury: Club Sport Package makes Porsche 911 GT2 RS even racier https://t.co/TptrZWuper https://t.co/TxrdCQaEGe","zesty_cars"
"neutral","RT @crossoverok: Elegante Sport. https://t.co/2SHAdLsh0e","Ramiimorales"
"positive","Bigotry when perpetrated by the left is wrapped in ‘nuance’. And @jack, welcome to India. It’s a contact sport. https://t.co/AKJjyz1MGY","sujeetpillai"
"neutral","RT @timtriche: @thebyrdlab A sport","thebyrdlab"
"positive","@Nunchuuucks Basketball is arguably the biggest sport in the country and it's probably the most influential whether… https://t.co/PROM8lMZVi","diegodgzmn"
"positive","RT @TaeDrummond: no matter the sport or the level, VIRGINIA has the best athletes💯\n\ndon't @ me","indiabagsby"
"negative","Crazy how much of a sport is mental. KAT was out there looking like a light skin Joel Anthony &amp; now he lookin like… https://t.co/xPnlHNLPQz","TR3Y_GUEY"
"negative","@KeithSmithNBA Gotta do better in all three phases of the game. Wait, wrong sport.","krambis1"
"neutral","Share if you find it terrific!\n\nClaim Daily bonus and rebate playing exicting casino games with… https://t.co/aqWo36v3GH","AsiaCrown8181"
"neutral","@riyadiyatv السلام عليكم ابغى تردد ksa sport  على اسيا سات انا في اندونيسيا","alfhod1413"
"negative","RT @readytimmywear: Timothée Chalamet - Luncheon in Los Angeles, November 19 2018\n🎥 https://t.co/lnvR8fVs0l\n\nTHOM BROWNE - Center-back Stri…","apricot_elio"
"neutral","RT @cnnarabic: أمجاد العمري..الفائزة بأول سباق كارتينغ للنساء في #السعودية\nhttps://t.co/f4XVZ2elmn","Alshehri_Aws"
"positive","RT @KirstyCoventry: Selfie time with our Zim Cricket team. I'm excited about our future! 🇿🇼 #RaisingOurFlag  #Zimbabwe #Cricket #Sport #Yea…","TaffyAlifasi"
"neutral","RT @retiredcheerr: Someone: “cheer isn’t a sport”\n\nMy brain:\n\nDon’t say it\nDon’t say it\nDon’t say it\nDon’t say it\nDon’t say it\nDon’t say it…","MullOlivia"
"negative","RT @JHKMMA: [INTERVIEW] Arzalet (@FightingGlobe) 4's 'Mutant Vampire' Kevin Park Mentally Approaches #MMA Like War, Not A Sport\n\nTalking Po…","FightingGlobe"
"neutral","@ReNgo_Sport واحنا نبيه بعد","rm_moh22"
"positive","RT @indigogreenroom: **EXCLUSIVE**\n\nTESSA &amp; SCOTT. \nNov 29, 12pm @IndigoBayBloor \n\nJoin the most decorated figures skaters in the history o…","annieeho10"
"neutral","RT @sportrecife: Esta semana tem mais uma batalha. Não vamos desistir. Quinta-feira é dia de se doar por inteiro dentro das quatro linhas.…","SPORT_PETROLINA"
"positive","RT @nulsservice: $NULS #Thanksgiving 🍗🍗 #giveaway! 🌨️We are giving away 10 💥 #Sport-Tek Fleece Full-Zip #Tech Hoodies❄️ with #media feature…","Shahab42055686"
"negative","RT @TheDomsMom: Since giving up on hockey for some time, after being a hardcore, I've realized a few things tonight:\n1. Buffalo fans of any…","steves_simpson"
"neutral","RT @yuargh: all this ipd x svtv clash,,, i thought the iqiyi sport event would be the only paradise i can get, but turned out,,, i also get…","dhany961010"
"neutral","RT @bummsk: Megszakadt Hosszú Katinka legendás nyerőszériája: Hosszú egy arany- és egy ezüstérmet nyert az úszó világkupa-sorozat utolsó, s…","Thomas_SmithX"
"positive","@BobbySoccerRep What has been very healthy for football is to see some of the minnow countries getting wins and pla… https://t.co/3896tDOILL","SoccerLimey"
"neutral","Ebonyi School Sports: Commissioner sacks official over funds misappropriation #Nigeria https://t.co/OkeDBa5qmK https://t.co/MexdXIz0le","africa_sport"
"neutral","@enlalinea_sport @johan_aviles Ya que no todos alcanzarán entradas","chinitotierno"
"neutral","2019 Lexus Gx F Sport Redesign, Release Date, Specs https://t.co/XH9LCq3Eem https://t.co/1sQbZb1hTY","FinalSpots"
"negative","Extreme sport: getting a parent to apologize to you.","amyyyyy25"
"positive","RT @RacingInsider: Group 1-winning trainer Natalie Young and AFLW star @darcyvee caught up over the @springcarnival to discuss and celebrat…","springcarnival"
"positive","Sport for Development, Sport Development and Sports Entertainment are among the three popular uses of sports curren… https://t.co/4e7AV5ojwM","SEDevSA"
"neutral","RT @izzatdalphia: 1: Rumah dekat Bukit Tunku\n2: Condo dekat The Avare \n3: Range rover sport https://t.co/fjKxHq8neW","sadbbgal"
"neutral","RT @detiksport: Guardiola Bercita-Cita Latih Timnas https://t.co/zRY0FQeUU2","wagesyahputra"
"neutral","@nysportstalkrc it's alwayssss a must to beat boston ! idc what sport or circumstance !","XavierMorel740"
"neutral","RT @retiredcheerr: Someone: “cheer isn’t a sport”\n\nMy brain:\n\nDon’t say it\nDon’t say it\nDon’t say it\nDon’t say it\nDon’t say it\nDon’t say it…","julianna_dege"
"positive","RT @TheHinduSports: On a mostly unresponsive strip, much of the cricket, quite expectedly, was less than intense https://t.co/jKVloB8eSR","the_hindu"
"neutral","@JohnnyUtahNG any European sport I guess","ElCid_Tweets"
"positive","RT @BBCSport: The end of an era.\n\nChelsea legend Didier Drogba has confirmed his retirement from playing.\n\nRead: https://t.co/5DFFhIODxY ht…","Wattz76"
"neutral","@BellaBaby74 @kylie_ladd As for what I called it, I didn’t. Sport? Blergh.","chickensbees"
"positive","RT @halfdeadmane: Having sex in different countries is my favorite sport.","diez_federica"
"positive","RT @diveclubmv: It’s fantastic to be a part of this wonderful sport event organize by nearly elected president, congratulation sir . @ibuso…","xoooms"
"positive","Sport for Development, Sport Development and Sports Entertainment are among the three popular uses of sports curren… https://t.co/bXaRJQdJeM","SEDevSA"
"negative","Breaking down the Supercars… https://t.co/NrRvBsQnbO https://t.co/7RovtYkBE6","Marvelous316"
"positive","@tha_rami It was great meeting you at GCAP and talking about about how badminton is the most hardcore sport on earth. Hang in there.","disisdaadam"
"positive","Great Read!!\nhttps://t.co/4fkB3EO4vq","CHBruinsTrack"
"positive","RT @DerbyChrisW: I support the campaign to ban trophy hunting - our government can and must take action on this issue. \n\nEvery decent perso…","MzRubybaby2003"
"positive","Opsi Main Rangkap, Terobosan atau Petaka Skuat Ganda Indonesia #DuniaBadminton https://t.co/S1xLst42KJ https://t.co/fzPtbbnwzi","badmintondunia"
"positive","I do think it is very sad that probably Victoria's most impressive MLC @FionaPattenMLC will miss out due to Druery'… https://t.co/qBhgNYP3Yc","willclarkeinoz"
"positive","RT @Sangram_Sanjeet: #Ahmedabad is really shining &amp; some credit goes to dis Gentleman &amp; dear Bhaisahb @vnehra ji #MunicipalCommisenior of A…","AlokTiwari9335"
"positive","@Zachdechant Consistently doing squats, hinges, push, pull, &amp; carry on a daily/multiple times a week basis are what… https://t.co/KdiIjsyWiC","DaivenRuddock"
"neutral","RT @MChichoSerna: Linda noche con amigos con los que pasamos momentos increíbles. https://t.co/XPbFD11XeP","cb_sport"
"neutral","RT @retiredcheerr: Someone: “cheer isn’t a sport”\n\nMy brain:\n\nDon’t say it\nDon’t say it\nDon’t say it\nDon’t say it\nDon’t say it\nDon’t say it…","claudetteruizl"
"positive","RT @TSNSimmer: There's a learning curve in every professional sport. But youth doesn't mean mass chaos. Some Sens vets aren't good enough f…","Curtisnot"
"positive","dapat new sport shoes mmg nak sambung jog balik 😩","peachpuhleas"
"positive","Wijnaldum reveals his best position &amp; talks proving doubters wrong https://t.co/5n4UFJZS9L","AbuuTaamir_LFC"
"neutral","RT @nsktv: 16 новосибирцев станут факелоносцами на эстафете огня Зимней универсиады https://t.co/QddY9ra5f5\n#nsk","orion10555"
"neutral","Y yo la quiero más por que Si se pone su medicamento y si usa sus #lentes !!! Mi prioridad: que VEAS bien para que… https://t.co/UxWA1iEEZe","OftalmologaSOTO"
"positive","RT @vineyardscene: jughead: im proud to identify as morosexual. im attracted to dumbasses and dumbasses exclusively.\narchie: no conflict is…","paddypubs"
"neutral","Зіграно перший в історії Закарпаття жіночий Суперкубок з футболу https://t.co/mWvcjsOEaH","GolosKarpat"
"neutral","В Ужгороді відбудеться благодійний футбольний турнір ім.Йожефа Беци https://t.co/1utoQAXEI6","GolosKarpat"
"neutral","RT @detiksport: Pupus sudah peluang Indonesia ke Semifinal Piala AFF 2018! Filipina bermain imbang 1-1 dengan Thailand pada laga Grup B Pia…","wagesyahputra"
"positive","RT @janganlupangopi: From coffees to kicks: Wagner to join Dees under new rules #JanganLupaNgopi https://t.co/SjUSFPzkDv https://t.co/nzhok…","MayaLes51947695"
"positive","RT @LarryBurneal: Susquehanna Valley isn't too interested in talking about what they've already accomplished this season, because the Saber…","bussysdad"
"neutral","Cricket: The Ajaz Patel story - 'more than just blind faith' https://t.co/nVE92zTfMO","richardboock"
"positive","RT @TheHinduSports: Hyderabad was rocked by a lively spell from left-arm pacer Kulwant Khejroliya, who combined pace and accuracy from pavi…","the_hindu"
"neutral","RT @MilanEye: Tomorrow’s Corriere dello Sport:\n\n“MILAN GODIN!\n\nLeonardo’s strike: Has in hand the pillar of Atletico\n\nThe Uruguayan defende…","mountsaifili"
"neutral","Vasco vencendo os Bambis amanhã e chapecoense e Sport empatarem, o Vasco praticamente escapa do rebaixamento... pq… https://t.co/0GLM93IaSJ","duilio41340941"
"positive","RT @Chiefgainer: Kara, way to go sport supporting #lovingpartners https://t.co/dAkzpXOzWS","frannypat"
"negative","Sarah taught me how to surfing in English paper.\n\nExtreme Sport taught me how to paragliding in Moral paper.\n\n#SPM2018","willvina_21"
"neutral","Work is the ultimate team sport #work #leadership","LeeCaraher"
"positive","RT @syariiayII: Yuzuru Hanyu is a great athlete, who has dominated the sport for more than 4 years. He has the most precisely skating skill…","misha_sivan08"
"neutral","RT @SmAsEmOooo_: Vote\nMo salah\n@MoSalah https://t.co/1zq0RDj3Ik","soma_mo_"
