sentiment,text,user
"neutral","RT @detikcom: Muse Bakal Rilis Ulang 2 Album Awal https://t.co/QTqFnbIeYq via @detikhot https://t.co/ZwYT8GAtfu","SabilaEsfandiar"
"positive","RT @OfficialNHHQ: NEVER FORGET NIALL COVERING \"GO YOUR OWN WAY\" THIS WAS LEGIT LIKE A MUSIC VIDEO AND THE VOCALS WERE EVERYTHING https://t.…","only_pelotuda"
"negative","RT @AbidaleW: Whenever I think I’m having a bad day I think about the time I ran a half marathon and at the starting line all my music myst…","_AngieFeliciano"
"neutral","@Brandonwoelfel I’m listening to music but always have your pics as my lock screen😊 https://t.co/Sjy1ndlzqE","emmyrener1"
"positive","@17POSTCARDS Us? Getting the animal music video? I have to laugh","troyesivanbloom"
"negative","RT @AbidaleW: Whenever I think I’m having a bad day I think about the time I ran a half marathon and at the starting line all my music myst…","Dallas_dairyen"
"positive","RT @delafro_: She’s absolutely right though. In hip-hop specifically, people do not care about men putting their hands on women. They will…","queeenjooo"
"positive","RT @noyes: I am going to get back to LA and write the best music of my life. This is a promise. I can feel it","THELlGHTlSCOMIN"
"neutral","RT @nise_shi: current mood: this shared playlist i found on apple music which is just ore ga ichirou 100 times https://t.co/SLdSJrsORI","raspberrydia"
"neutral","RT @humbleakh1: Imagine you died while:\n\nWatching porn \nDoing drugs\nHaving haraam sex\nGambling \nAs a homosexual\nListening to music \nEngagin…","suria_0428"
"positive","RT @MediaCSM: Shawn Mendes, meses atrás, nos bastidores do MTV Video Music Awards 2018 em New York, Estados Unidos. — 20 de Agosto 2018.\n\n(…","realshawnnn"
"positive","I liked a @YouTube video https://t.co/JeiVpy9mm8 432 Hz - Manifesting Your Desires Into Reality | ASK The Universe Meditation Music","miss_elliev"
"neutral","RT @SMTOWNGLOBAL: NCT 127’s ‘Simon Says’ music video will be unveiled tonight at 12am KST! The members will also tell us various spoilers a…","rxyaljaehyun"
"positive","RT @WTFFacts: Experiencing goosebumps when listening to music is a rare condition that's the result of a different brain structure. People…","KawaiiJm24"
"neutral","RT @JuanG_Arango: At one point, I 'd just park my car, turn up the music and just start dancing on the highway.  Screw that. https://t.co/i…","mikerocha4"
"negative","RT @harleivy: this fight scene from atomic blonde (2017) is so underrated. the long shots, the fact that it has no background music so it's…","gaylakemonster"
"negative","RT @LittleMix: @ArianaGrande thank you ♥️ what we do with our bodies is our choice and we felt liberated owning the negative words thrown a…","PurpleAuror"
"positive","I liked a @YouTube video https://t.co/5JRjhuU02R Sylar - All Or Nothing (Official Music Video)","SethGranville"
"positive","RT @seungwann: #SNSD Taeyeon’s and #RedVelvet  Wendy’s amazing collaboration song for #SMSTATION project ‘Only In Your Dreams’ will be out…","Alexiel_Lee"
"negative","RT @shadow_twts: Non USA Armys should also stream @BTS_twt music everyday as your streams turn into song/album sales which in turn contribu…","NovaparkPark"
"positive","RT @fajaregal: Laporan dari Gareth Main, salah satu kontributor musik The Guardian, ihwal acara Bandung Null Emergence di Tamansari tempo h…","dkmgn"
"neutral","@DeplorableChoir Like your music.","joesephharry"
"negative","RT @KarlousM: Black parents out here raising honor roll students off trap music and Capri suns. You can’t tell me what God can’t do!","bethy_ovoxo"
"negative","This seriously just happened. @idk said he would pull up to the hip hop showcase. I told him about our program and… https://t.co/eBeId9spdJ","MrDoggettRMS"
"negative","RT @hopeworldians: After so many comments from directioners saying 1D will always be the biggest boyband I got kinda mad and trashed their…","camilla734_"
"neutral","RT @1th0u_k: この夏のMusic Day、｢ジャニーズメドレーでみんなが”愛なんだ”を歌う時、自分はMC席にいるものだと思ってたら、二階堂が俺を呼びに来てくれたの。おかげで、”あ、俺も歌うんだ”って気づいた（笑）ありがたいよね。こうやって後輩に支えられて生きてます（…","tama_rinn"
"neutral","*talking to my sister about what music she listens to*\nSister: Sometimes I listen to Adele... I don’t know why, I just do.","monnomesttania"
"neutral","きらめく ギャラクシー (｀へ′) /Kis-My-LAND","kismyft2_music"
"negative","RT @LittleMix: @ArianaGrande thank you ♥️ what we do with our bodies is our choice and we felt liberated owning the negative words thrown a…","ChrisJessee93"
"neutral","RT @m_on_music_news: 土屋太鳳、「幼なじみであり、同志のような存在」北村匠海（DISH//）からのサプライズレターに感激！\nhttps://t.co/U2DgknCX8C\n#土屋太鳳 #北村匠海 #DISH #春待つ僕ら #春待つ\n【その他写真あり】【コメン…","happy7smilelov2"
"positive","RT @stayhappystella: 😂 Maris wrote her own songs. Tapos prinoduce ng starpop. 😂 itatak mo din yan sa kukuti mo cyst. Fan ka ng dalawa diba?…","iammarnigo"
"positive","I listen to music about making money, making moves &amp; helping my people and that’s exactly what I’ve been doing. I’m… https://t.co/zfEiym3pIt","xxxdanielcd"
"neutral","RT @SMTOWNGLOBAL: NCT 127’s ‘Simon Says’ music video will be unveiled tonight at 12am KST! The members will also tell us various spoilers a…","peacherinox"
"positive","top chart shit in the music business I wanted to show em in cali I could get my shit together myself but jealous te… https://t.co/O6PXLDWXU7","Freddie40204627"
"positive","@vivaceharmony I will say from just a graphics/creativity/music standpoint Sectonia is high up there but I apprecia… https://t.co/SuQQfc7XXp","AvillanAppears"
"positive","RT @MaxEhrichBrazil: Max Ehrich via IG \nDeixei seu Like e comentário\n\"Love you ALL e excited to share my personal  journey with you through…","MenteSombriasBR"
"neutral","The Stranglers - Always The Sun https://t.co/4nJHh4voil via @YouTube\n\nthestranglerstvVEVO\nPublished on Aug 6, 2014… https://t.co/PRDDq4rFjH","DukefBuckingham"
"neutral","RT @manalaloudahh: Evolution of music (1680-1900) 🎶 https://t.co/ldNVo23M06","ma4_7"
"neutral","RT @NAfME: We are #thankful for our music educators! https://t.co/noGbWlWYcu https://t.co/r4iJpPLF1B","SilvaWilson5"
"positive","RT @iHeartRadio: You might see some familiar faces in @steveaoki and @BTS_twt's #WasteItOnMe music video: https://t.co/vX50yxLnSG https://t…","anikrandu"
"negative","RT @groove_coaster: 【STEAM】11月29日(木)に『グルーヴコースターfor STEAM』に新登場するDLC楽曲が決定!\n「GAME MUSIC PACK 01」としてバンダイナムコエンターテインメント様の楽曲\n「ナムコットメドレー」\n「ドラゴンスピリッ…","tomo3p_radirgy"
"positive","MUSIC VIDEO OUT NOW!!!!!!!  \"BROKE\"‼️Had fun Recording this one with my Brother lowj_9 More On The Way 🔥🔥🔥\n•\nLINK I… https://t.co/Wy1RerWPwr","Dasilva45Kyle"
"neutral","RT @chamwink: music broadcast selca photo tickets😍 https://t.co/1u25lbViLJ","ifntlove"
"positive","【Locksley】\nアメリカで活動しているギターロックの良心とでも言うべきバンド。擦れ気味のボーカルが雰囲気あって良し。\n「Darling It's True」\nhttps://t.co/7o58kkkccY","1oshi_music"
"neutral","RT @musicjp_mti: 占い師に予告された運命の人が劇団EXILEだったら？ 整形メイクで別人になった妻に夫がまさかの行動!? 『モニタリング』 https://t.co/b54VSGzZ0t #NAOTO #劇団EXILE #花田虎上 https://t.co/rf…","u_ex_ldh"
"neutral","RT @Mambaste: Frank ocean has music that we will probably never get to hear https://t.co/OlI20ii4HM","hanuhhfoster"
"positive","RT @angelbreathin: ariana really invited all her best girls to be in this music video! POWERFUL WOMEN ENERGY IS RADIATING!","PrncssYan"
"positive","RT @Iovendhate: one of the things i like the most about mamamoo is how they always use real instruments i mean their instrumentals are no j…","JonnaLy02703926"
"neutral","Bono &amp; Eugene Peterson | THE PSALMS https://t.co/MbahfHQm88 via @YouTube.             “Why I’m suspicious of Christ… https://t.co/5iLPC3z5JD","dschlabach"
"positive","RT @DRMovieNews: If your anticipation isn't off the rails already for this Jon Favreau blockbuster, legendary composer HANS ZIMMER will be…","Licoriceequeen"
"positive","RT @MarinaDiamandis: They’re not “using” nudity. They’re grown women and shouldn’t live their lives catering to what they think a 9 year ol…","ohsorareful"
"positive","I liked a @YouTube video https://t.co/HFFsYVtaCR LENNY CHELSEA - TERMINAL GAYATRI ( OFFICIAL VEDIO MUSIC )","tirta_fm"
"positive","free bobby shmurda man no one else's music gets me as lit... him and rowdy 😫","hipppery"
"positive","RT @yhartists: #范丞丞 #FANCHENGCHENG \n首支个人单曲《I’m Here》完整版上线❣\nNow available on NetEase Music😀\n▶https://t.co/7ZJ3jfB3I6 https://t.co/TpXFJBDdBI","zhengchens"
"negative","RT @harleivy: this fight scene from atomic blonde (2017) is so underrated. the long shots, the fact that it has no background music so it's…","nonnonnonnonno2"
"positive","RT @StevenOwens1950: @porfie_moreno @YouTube Never too early for music Porfie. Happy Thanksgiving to you and your Family!","porfie_moreno"
"positive","RT @lipgIosse: so she's doing mean girls, legally blonde, 13 going on 30 and bring it on....her best music video is coming. going ✈ 1 billi…","christinemillxr"
"negative","RT @nojam__nolife_: 'Waste It On Me' MV 비하인드씬 Ken Jeong  😂😂\n#방탄소년단 #BTS @BTS_twt \nSteve Aoki - Waste It On Me feat. BTS (Behind The Scenes)…","jaynejongun"
"positive","RT @BBCR1: .@BTS_twt don't appear in the new music video for #WasteItOnMe with @steveaoki, but you'll recognise some of the famous faces wh…","KimChaeco"
"positive","RT @jeonghao_twt: Lee Jihoon definitely plays the largest part in Seventeen's music career, here's a clip of him guiding them in the right…","gecarat"
"neutral","RT @WANNAONE_TH: [NEWS] Wanna One ยืนยันเข้าร่วมงาน \n 2018 MMA (Melon Music Awards) ที่จะจัดขึ้นในวันที่ 1 ธันวาคมนี้ค่ะ\n\n🔗 https://t.co/sr…","satang______"
"neutral","RT @SMTOWNGLOBAL: NCT 127’s ‘Simon Says’ music video will be unveiled tonight at 12am KST! The members will also tell us various spoilers a…","Magic_Professor"
"positive","RT @MarinaDiamandis: They’re not “using” nudity. They’re grown women and shouldn’t live their lives catering to what they think a 9 year ol…","extrassad"
"positive","Preparados para el 5 de diciembre? Más info por inbox :) somosjuana music live @ Pakarny Music House https://t.co/vQU6VEz3dO","juanclunac"
"neutral","MYSTIC PROPHECY: Υπογράφουν με την Rock Of Angels Records! | Rock Overdose / Rock - Metal Music https://t.co/SosaxCFfyA","Rock_Overdose"
"positive","RT @BruceBourgoine: Just finished our family Thanksgiving eve tradition of light classical music, candlelight, a fine glass of Alsace Riesl…","Dnauerbach131"
"neutral","Sitting in my bed.. Nothing to study at the moment.. On my laptop.. Working on a post.. listening to music.. and lo… https://t.co/DzxU1u57SG","DavisJacobR"
"positive","RT @shot_armpodcast: Excited to announce Taylor Muse of @quietcompanytx will be S2: Ep 3! Airs this Monday the 26th at 10am! #austin #Texas…","TexasMediaTech"
"positive","RT @btsvotingteam: &lt;Korea Popular Music Awards&gt;\n\nThe online voting, was scheduled on Tuesday, November 20, but we will postpone the opening…","70jiminbts"
"neutral","Check out @Jassiel_Macias\nNewest Music Video \"Why You Play\" Part 1 On @YouTube\nhttps://t.co/HvyG9vG3ma","SweetCoolJordan"
"negative","RT @AbidaleW: Whenever I think I’m having a bad day I think about the time I ran a half marathon and at the starting line all my music myst…","CatMConnolly"
"positive","RT @paytonmmusic: yup just up singing at 3am like always 🙃\ncould’ve been x her ft bryson tiller\ni own no rights to this song or music! http…","afrocybergirl"
"positive","RT @ItsYoshh: Man. I need new music to listen to.\n\n*searches for new music*\n\n*winds up turning on Early 00's Emo Playlist*","SlaysDragons"
"positive","When you played taxi cab I listed to that song in the lowest point in my life. Your music is amazing and I love you… https://t.co/2JoD3hwAra","Chase16Tyler"
"positive","RT @happyyballinger: this boy really managed to make it into an ariana grande music video before he’s even born","colleenxswift"
"neutral","RT @soompi: #WannaOne Announced For Lineup Of 2018 Melon Music Awards \nhttps://t.co/XuF7DJH4nz https://t.co/DQPBL8cfzj","chatsuda93"
"neutral","RT @Tfi_AntiVirus: Geetha arts banner logo and background music Magadheera ki set ainattu deniki set avvadhu..","Placid_soul07"
"neutral","RT @soompi: #WannaOne Announced For Lineup Of 2018 Melon Music Awards \nhttps://t.co/XuF7DJH4nz https://t.co/DQPBL8cfzj","Tankmom06070600"
"neutral","Where’s my foooood","SHAWN__MUSIC__"
"neutral","RT @m_on_music_news: Kis-My-Ft2の新曲「Hurray! Hurray!」が、ベネッセ新CMソングに決定 https://t.co/WmaNDTqD4k #キスマイ #KisMyFt2【その他写真あり】","chihuahua_l"
"neutral","RT @SMTOWNGLOBAL: NCT 127’s ‘Simon Says’ music video will be unveiled tonight at 12am KST! The members will also tell us various spoilers a…","99sdino"
