sentiment,text,user
"negative","RT @TheWeirdWorld: Nothing makes you feel more disappointed than when we reach the same year a sci-fi movie takes place on and we still don…","Maryannwaithak1"
"positive","RT @RyanAFournier: Facebook allowed a 16 year old South Sudan girl to be auctioned off as a bride.\n\nThe girl's father received 500 cows, 3…","Pence4vPrez"
"neutral","Ohio's Data Security Law To Test Incentive-Driven Strategy https://t.co/RynbGU4Ho8","Sec_Cyber"
"neutral","RT @mjaeckel: Yet, a year ago I shared my story about getting bullied for *two years* by women in technology organizations. \n\nNo media inte…","ZenKaneda"
"positive","RT @TheBadDadder: 7️⃣1️⃣\nSMART METER DANGERS ⚠️\n✳️ Smart meters equipped with technology that provides digital signature that can be identi…","twinkleblinc"
"positive","RT @AHURI_Research: How can technology help people with a disability find a home? Or help public housing tenants move to a better location?…","UNSWCityFutures"
"neutral","Time to show children IN ALL SCHOOLS the\nBEAUTY OF LIFE inside a mother's womb. \nLook at the clarity that TODAY's t… https://t.co/ydunBqDp0v","ZayraOfUSA"
"neutral","RT @BigData_Joe: #CyberSecurity Expert Shortage [#infographic] \n\n#MI #ML #AI #IoT #Marketing #DataScience #Startup #Fintech #DL #BigData #T…","Angelinux3000"
"positive","RT @rodders1000: @rodders1000 \nExperience the best in drone and camera technology. This retailer offers a full backup and support service.…","livewellandsuc3"
"neutral","RT @DRUDGE_REPORT: Departing comms chief says critics were targeted... https://t.co/dyhZZialr5","RussJensen5"
"positive","Wearable technology may be able to detect sickness before symptoms appear https://t.co/tB3o9CjhUm via @NaturalNews.… https://t.co/QF8YZqyIrl","IsraelNewsLinks"
"neutral","RT @TurntMinaj: SCREAMINGGG 💀😭 who be giving y’all access to phones &amp; technology https://t.co/3Y8BApHw29","challenge_mct"
"neutral","RT @akshaykumar: #2Point0 : When technology meets art! Watch the 3D spectacle in cinemas on 29th Nov. Only 9 days to go!\n\n@2Point0Movie @sh…","Manikumar3218"
"neutral","RT @DRUDGE_REPORT: Departing comms chief says critics were targeted... https://t.co/dyhZZialr5","xBenJamminx"
"positive","Join 10 people right now at \"Reuters to Turn Photo and Video News Into Single Visual Journalist Team\" #cheers… https://t.co/E6lnLU6atg","tech_cheers"
"positive","RT @RyanAFournier: Facebook allowed a 16 year old South Sudan girl to be auctioned off as a bride.\n\nThe girl's father received 500 cows, 3…","lor65"
"negative","I really liked the “Cam” on Netflix. Twisted horror about a cam girl’s stolen identity. At first I was disappointed… https://t.co/A8daTQWOpq","JamilaRowser"
"neutral","RT @JimMarous: 10 Technologies That Will Disrupt Banking in Next 5 Years\n\nhttps://t.co/flSJuLy7Ak \n\n#banking #fintech #finserv #AI #Cloud #…","Angelinux3000"
"neutral","@AtheisticDragon @remnantofisrae1 @Through_Science @AtheisticSnail @Phoenix42505497 @ConvertMe4 @AiG @JoeMDodd85 It… https://t.co/4rnQtI2Toi","InaneDragon"
"positive","RT @CNN: This mobile hotel room design uses autonomous technology in a whole new way. It combines your hotel stay, your office and your mea…","typical_reggie1"
"positive","RT @Bravo_Pay: Take the time to watch this in-depth review of the @Bravo_Pay Protocol by Crypto Review Central. \n\nFind out more about the H…","PM59458707"
"neutral","RT @e_CoachManager: How does #AutonomousVehicles works? @Waymo shows us this #technology works!\n\n#AI #Driverless #IoT via @Seeker\n\n@MikeQui…","conet_tech"
"positive","Ukraine detects new Pterodo backdoor malware, warns of Russian cyberattack | Ars Technica ⁦@SecRecon⁩  https://t.co/WesZ2X20xA","SecRecon"
"negative","RT @WaittFdn: Underwater mining began as a cover story for secret agent stuff and now, 50 years later, they say they are really ready try i…","kourtnikourt"
"positive","RT @Dominium_me: Only 3 More days to get a 50% Bonus on Dom Tokens Purchased in NXT, ARDR, and IGNIS. Purchase now!  #DOM #Domtoken #Domini…","fintechna"
"neutral","RT @DRUDGE_REPORT: Departing comms chief says critics were targeted... https://t.co/dyhZZialr5","ronnyshreve"
"positive","China’s plan to judge each of its 1.3 billion people based on their social behavior is moving a step closer to real… https://t.co/HlnAYmREIF","VetsUnitedMarch"
"negative","RT @ACLU_Mass: Have you ever asked yourself, \"wtf is blockchain?\"\n\n...same. Here's an explainer from @Snowden: https://t.co/FKyNkjSWaa","prady90"
"positive","The flight represents a breakthrough in “ionic wind” technology, which uses a powerful electric field to generate c… https://t.co/a1pzSTMxRt","singsingarsing"
"positive","Technology has come so far https://t.co/mbitlM2uzn","thenicesprite"
"positive","RT @NAfME: Project-based music is a way for students to personalize their learning, take ownership, use relevant technology, build upon and…","BBentley123"
"neutral","RT @SinZooArgentina: 4. PHILIP LOW, prestigioso neurocientífico e investigador del Massachusetts Institute of Technology, expondrá sobre la…","DelPasteur"
"positive","@SamParkerMetal But what I was trying to get to, it’s like for you to be able to watch movies in 4K, you need prope… https://t.co/2nfPF8uZ5G","GodNolanSnyder"
"positive","RT @Fuctupmind: Hi @jack why Laura Loomer, but Farrakhan is ok?\n\nI'd really love to hear an answer. \n\nTwitter says it won't suspend Louis F…","NStarFan"
"positive","RT @Dominium_me: Only 3 More days to get a 50% Bonus on Dom Tokens Purchased in NXT, ARDR, and IGNIS. Purchase now!  #DOM #Domtoken #Domini…","SkyWipero"
"neutral","RT @ABHISHE17958757: All u wanna knw abt d FRIGATES DEALS India juz signed wid Russia. \n\nAdmiral Grigorovich Class Frigates:(Talwar Class)…","RajeevS27545206"
"positive","RT @EmersonComResAP: We are proud to work with Refcold India in bringing the best technology solutions in the refrigeration &amp; cold chain in…","BalavantBhaiCh1"
"negative","Agreed but the difference is most politicians are afraid to speak their truth on camera like @Ocasio2018 does. Tech… https://t.co/JjfPMzjHua","DaveOrtiz626"
"neutral","#InternetOfThings spending in Asia-Pacific reaches $4.8 million:  https://t.co/TUdg4T5oTA","anand_sivaram"
"negative","Voted for \"When\" in the Final Round of the 2018 #GoodreadsChoice Awards https://t.co/2uzinF22p6 via @goodreads","Enlik"
"neutral","RT @DRUDGE_REPORT: Departing comms chief says critics were targeted... https://t.co/dyhZZialr5","barbmrowell"
"neutral","RT @DRUDGE_REPORT: Departing comms chief says critics were targeted... https://t.co/dyhZZialr5","CauseofourJoy"
"neutral","RT @nickconfessore: EXCLUSIVE: Inside Facebook’s two-year campaign to delay, deny, and deflect the crisis consuming it. https://t.co/MLgVwW…","caudreylkelch"
"negative","\"How Facebook’s P.R. Firm Brought Political Trickery to Tech\" by JACK NICAS via NYT https://t.co/DTMG7SMkd4 https://t.co/yEwnsbnT6v","regionalitserv1"
"negative","RT @MehboobaMufti: PS - In todays age of technology, it is very strange that the fax machine at HE Governor’s residence didn’t receive our…","gowhargeelani"
"positive","RT @mrbcyber: China Has More Nuclear Subs Than the West Believed but fewer operational ones https://t.co/D5TLEDiBaD via @defenseone","noozbot"
"neutral","RT @DRUDGE_REPORT: Departing comms chief says critics were targeted... https://t.co/dyhZZialr5","AurelianGirl"
"positive","RT @TheBadDadder: 6️⃣5️⃣  STILL SKEPTICAL❓\n✳️ Listen to JFK and LBJ speak more than a half century ago. \n✳️ How much has weather control te…","twinkleblinc"
"positive","RT @NASA: It's #ThanksgivingEve. As many prepare to take to the road and skies, know that @NASA_Technology is keeping you safe on roads and…","NqnVal"
"negative","RT @MasalaBai: Twitter agreed to look into caste slur as hate category. https://t.co/8lC13zqjEI","pramitheus"
"positive","RT @thewcomp: Congratulations to our CEO, Elizabeth White who just won Most Innovative Woman of the Year - Technology at the 15th annual St…","NguynHo61916369"
"neutral","RT @JimMarous: 10 Technologies That Will Disrupt Banking in Next 5 Years\n\nhttps://t.co/flSJuLy7Ak \n\n#banking #fintech #finserv #AI #Cloud #…","Anuragag83"
"neutral","Amazon says some customer email addresses exposed https://t.co/NS6xelr6VI","dna"
"neutral","RT @AB_BJP: @MehboobaMufti @OmarAbdullah @Ambikasoni4 @INCIndia @RahulGandhi @Babble524 @RomeshNadir @desertfox61I @shitijsrivastav @Rohini…","Dhundh1"
"negative","RT @anandmahindra: This is disturbing;Because this is a ‘leading’ indicator of technology development and innovation in a society. How &amp; wh…","Karsaswat1"
"positive","RT @EricVailNaylor2: Boom!!!!!!  XRP (XRP) Latest News: Ripple Set to Partner with Bank of America As It Plans To Embrace Blockchain Techno…","j2schill"
"positive","NorthGlass sincerely awaits your coming for ZAK GLASS TECHNOLOGY EXPO 2018 on 06-09 December in MMRDA Exhibition Ce… https://t.co/eF95zk5LUo","ngliweijian"
"positive","RT @WritingJordi: Technology also allows us to present ourselves to the world in new, creative ways that can be beyond gender.\n#codeswitchi…","sonasterisk"
"neutral","RT @Dankjetfuel: we can rebuild him; we have the technology https://t.co/87IgVDuSUs","g_marteau"
"neutral","RT @Bravo_Pay: It warms our heart to have an individual who is truly vested in blockchain &amp; the solutions it can bring to the world &amp; finan…","aldians92278258"
"positive","RT @Fuctupmind: Hi @jack why Laura Loomer, but Farrakhan is ok?\n\nI'd really love to hear an answer. \n\nTwitter says it won't suspend Louis F…","America1stQ"
"neutral","READ: Malacañang released appointment letter of Sen. Gregorio \"Gringo\" Honasan II as Secretary of Department of  In… https://t.co/zg26YMv1wR","PTVph"
"neutral","RT @DRUDGE_REPORT: Departing comms chief says critics were targeted... https://t.co/dyhZZialr5","patchofdarkness"
"positive","RT @OriginalMyCom: Enjoying autumn in #Talinn, today we're asking our CEO about plans for an #ICO, how a #bountyprogram works and what Orig…","petrovuslodods1"
"neutral","RT @TheBadDadder: 6️⃣3️⃣ HEY AL GORE — FOUND YOUR CLIMATE CHANGE‼️\n✳️ Why is private company allowed to hold patents on technology to alter…","twinkleblinc"
"negative","\"How Facebook’s P.R. Firm Brought Political Trickery to Tech\" by JACK NICAS via NYT https://t.co/3fSIP8RXO5 https://t.co/sIzTz6S7d2","AD33Ministries"
"positive","RT @UlordChain: On Nov 20, Ulord CEO Dam Woods was invited to attend 2018 Blockchain  New Economy Hangzhou Summit, and delivered a speech o…","e1revoltoso"
"negative","RT @OpenSociety: According to the @nytimes: \"@Facebook employed a Republican opposition-research firm to discredit activist protesters, in…","DA4Pups"
"positive","The iPod click wheel was the pinnacle of purposed hardware design via /r/technology https://t.co/yxVSLbZZth #tech #new #trends","MissKatherineLK"
"positive","RT @RyanAFournier: Facebook allowed a 16 year old South Sudan girl to be auctioned off as a bride.\n\nThe girl's father received 500 cows, 3…","Laner67"
"neutral","@pymnts #GDPR #EMEA #mergersandacquisitions #technology #MandAs #security https://t.co/dYAatgcGSh #cdwsocial https://t.co/iou4NtZdSb","CDWGWAGov"
"neutral","@SteveHa30404522 @KTHopkins Electric cars are not the future. Hydrogen cells are. They only exhaust water vapor. Th… https://t.co/Ke1HxdEsYg","david_tannehill"
"positive","Talk about encryption, hashing and cryptography can be cryptic. Encryption is a technology that keeps you safe, so… https://t.co/D1Ucdbd5q6","saikytweets"
"negative","RT @OnyefuosaonuSyl: An international Information Technology firm based in Lekki area of Lagos State requires the services of the following…","jagzangel"
"positive","Amazing! The actual so serious technology in crypto world! My recommendation to participate today. An excellent cha… https://t.co/Nrdb7IG1yn","OLNetworker"
"positive","RT @elaine_perry: \"All the technology in the world will never replace a positive attitude.\" — Harvey Mackay  #leadership #SuccessTRAIN #Joy…","MateDC"
"neutral","RT @ma2shita: #ソラコムサンタ はここでもお願いできます(^^) #SORACOM Technology Camp 2018 秋にサンタ来てるかもしれません。 https://t.co/qfOqIUYwDK","yukio_saitoh"
"positive","Lesfex is a platform that will expose CryptoCurrency, Crypto-Trading and Blockchain assets to the general public vi… https://t.co/hPdaqbiXVE","cryptojohnn7"
"positive","RT @IlvesToomas: If you don't lie in the first place, you don't have to change your story. It seems Facebook lies a lot and then says \"oops…","konrad_jeff"
"positive","RT @KeithOlbermann: This’d be a good day to delete your Facebook account https://t.co/l4QppO1zdD","TelliTweets"
"negative","RT @EyemagnetTV: Before the next round of construction begins for the NZX Wellington ticker, we're giving a look into the underlying techno…","MichaelBenFox"
"neutral","RT @TheEconomist: A cat’s tongue “acts like a loofah and a sponge at the same time”, according to David Hu of the Georgia Institute of Tech…","Adetastic"
"neutral","BBC News - Tech Tent: Has Facebook reached peak crisis? https://t.co/bEGpSvkJIF","Rossi295148104"
